sample ID;Latitude;Longitude;Year;season;Month;Day;Date;d15N;d13C;dist;chla_2m;sst_2m;mld_2m;wind_2m;PPv_2m
119;47.513;-22.273;2009;2;6;5;156;2.451790067;-21.71675736;827.9141997;0.548586758;13.67131996;73.58963564;9.408786631;640.0031151
120;45.352;-30.89;2009;2;6;4;155;5.812431048;-21.74068962;1277.705072;0.436922592;14.09819984;37.29011824;9.534560587;566.0943197
121;43.897;-35.335;2009;2;6;4;155;6.911907867;-20.32908163;986.2802581;0.510828842;15.46196938;40.5971241;9.091156639;723.0966125
122;44.748;-32.815;2009;2;6;4;155;4.427514246;-21.28370852;1146.02334;0.417452298;14.53789711;34.35083543;9.442557054;595.5762177
123;41.147;-28.378;2011;2;6;2;883;9.07252274;-22.16154821;1564.88423;0.673387587;15.17229652;25.13274421;7.498565547;788.611084
124;41.313;-27.995;2011;2;6;2;883;8.188646348;-22.23160006;1529.313511;0.718208704;15.12951088;24.51236792;7.508562143;861.6050644
125;60.028;-14.965;2012;2;6;6;1253;3.432897212;-23.28583902;122.3657715;1.128127999;9.556238174;59.97888006;8.212683967;821.88011
126;48.625;-20.787;2016;2;6;18;2726;5.739564439;-21.94197705;663.2712611;0.706561244;13.16295815;29.43535395;8.985452866;760.2110901
127;57.447;-41.68;2009;2;6;30;181;6.006532525;-25.84969931;253.1232646;0.486957746;4.97820425;30.44346542;7.940960516;405.0673087
128;54.152;-49.682;2009;2;6;30;181;5.918472956;-24.15275827;222.6676386;1.555583317;4.7767272;26.32346644;7.889150026;784.7914429
129;54.925;-47.81;2009;2;6;30;181;5.760611131;-25.13048617;363.4353473;1.074694203;4.67540884;24.00956295;7.91734067;654.7521896
130;55.3;-46.845;2009;2;6;30;181;5.344638861;-24.94752478;436.3710007;1.858604424;4.725427151;26.92132907;7.859577606;729.393365
131;61.633;-30.557;2010;2;6;22;538;3.133344234;-23.79378746;333.1684769;0.665137263;8.163263321;25.29784435;7.806016598;660.522224
132;63.208;-25.907;2010;2;6;22;538;3.242271996;-23.0157614;71.60232606;0.997709403;8.431146622;98.13952632;7.332485088;884.7173136
133;60.792;-32.703;2010;2;6;21;537;3.201893812;-23.89241324;416.6438486;0.868051567;8.094751358;26.6361561;7.801348548;724.1054775
134;61.217;-31.645;2010;2;6;22;538;3.186393077;-24.09321708;406.4157758;0.757784219;8.089654922;22.78882251;7.773725201;683.4010586
135;55.892;-45.162;2010;2;6;20;536;5.086871796;-24.8739595;401.3995615;1.286987342;5.188348293;23.46923521;9.117766954;678.196804
136;58.192;-39.908;2010;2;6;20;536;3.976149115;-25.21905554;234.7822435;0.737255065;6.182946682;25.73310836;9.101055984;561.2316551
137;58.388;-39.398;2010;2;6;21;537;3.458056698;-24.80439935;240.2975297;0.713122398;6.343102932;23.25660624;8.789731101;591.3483658
138;58.778;-38.36;2010;2;6;21;537;4.24913329;-24.62208668;260.6214529;0.842961192;6.691949368;23.11902279;8.618192427;653.179542
139;56.11;-44.712;2010;2;6;20;536;4.006919829;-25.17596025;376.2211327;1.215593711;5.149499416;26.31596189;9.172644904;651.3062439
140;58.97;-37.833;2010;2;6;21;537;3.78887615;-24.6843736;276.8146854;0.817910772;6.785424709;22.26350388;8.505912053;647.1695651
141;56.753;-43.327;2010;2;6;20;536;4.332286793;-24.48610081;308.5315246;0.936614908;5.080346584;24.23469951;9.4587453;521.7103907
142;62.037;-29.458;2012;2;6;1;1248;4.07792072;-23.99727189;262.3167174;1.06655057;6.855584621;32.98250547;7.537190418;704.5490697
143;62.818;-27.125;2012;2;6;1;1248;4.435449693;-23.43401683;124.938202;1.199041221;7.114251614;43.81657685;7.79003501;754.9346657
144;63.008;-26.523;2012;2;6;2;1249;5.21548986;-23.13873099;96.41967277;0.949526261;7.275903225;47.80399541;7.632658519;668.527464
145;60.363;-33.772;2012;2;6;1;1248;4.696040293;-25.01801191;420.8115339;0.521937368;6.189324856;27.0414019;7.175631321;455.4709106
146;61.007;-32.208;2012;2;6;1;1248;3.926523183;-24.55817811;419.0171221;0.632891121;6.179528713;29.47037519;7.152789484;491.0615234
147;60.143;-34.317;2012;2;6;25;1272;4.58828847;-24.59975485;405.8522977;0.71915867;7.105584621;18.40866574;6.525009725;634.847229
148;61.427;-31.172;2012;2;6;25;1272;4.401770149;-24.22252244;371.306886;1.252491864;7.470178127;19.36924838;6.582116345;894.8012466
149;61.837;-30.067;2012;2;6;25;1272;3.944021524;-24.36192017;299.805141;1.100252433;7.35131216;20.69755406;6.721533811;847.8164617
150;62.238;-28.933;2012;2;6;26;1273;4.012044238;-24.32871475;228.4119767;1.323426847;7.898034573;22.01335215;6.366137999;1012.372186
151;63.2;-25.962;2012;2;6;26;1273;3.872470038;-24.25225934;72.31918259;1.91531171;8.281335831;24.94513042;6.197723515;1287.242822
152;60.58;-33.297;2012;2;6;25;1272;3.898098828;-23.91839279;415.0832626;0.961555276;7.336999416;21.20286055;6.713393089;737.738383
153;57.278;-42.127;2012;2;6;24;1271;4.575602558;-25.0434763;262.814059;0.824524653;5.302117825;23.27411687;7.417227211;593.7442993
154;57.687;-41.147;2012;2;6;24;1271;4.422547765;-26.7372512;241.578775;0.865198347;5.293450832;20.38986743;7.267181017;607.8649902
155;58.478;-39.117;2012;2;6;24;1271;5.133418931;-27.82511555;244.7553092;1.150058562;5.741967678;19.74447597;6.725938473;744.6054077
